StartDate,EndDate,IPAddress,Duration (in seconds),RecordedDate,LocationLatitude,LocationLongitude,Age,Gender,Interest_politics,tmarkov1,tmarkov2,tmarkov3,tmarkov4,tmarkov5,tmarkov6,tmarkov7,treal1,treal2,treal3,treal4,treal5,treal6,treal7,tlstm1,tlstm2,tlstm3,tlstm4,tlstm5,tlstm6,tlstm7,cmarkov1,cmarkov2,cmarkov3,cmarkov4,cmarkov5,cmarkov6,cmarkov7,creal1,creal2,creal3,creal4,creal5,creal6,creal7,clstm1,clstm2,clstm3,clstm4,clstm5,clstm6,clstm7,SC0
2018-06-25 19:24:09,2018-06-25 19:33:10,143.176.127.104,540,2018-06-25 19:33:10,51.969100952148,5.8984985351562,24,Female,Medium,1,2,2,1,1,1,1,2,1,1,1,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,1,2,1,2,1,2,1,1,1,1,2,2,2,2,1,2,27
2018-06-25 19:49:39,2018-06-25 19:57:21,86.81.170.240,461,2018-06-25 19:57:21,52.381195068359,4.6360931396484,24,Female,Medium,2,1,2,1,2,1,1,2,1,2,1,2,1,2,2,1,2,2,2,2,2,2,1,2,2,2,1,1,1,2,1,1,2,1,1,2,2,2,2,2,2,1,27
2018-06-25 19:41:17,2018-06-25 19:46:35,83.163.179.127,317,2018-06-25 19:46:35,51.959594726562,5.8618011474609,25,Female,Low,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,27
2018-06-25 19:13:11,2018-06-25 19:21:06,79.222.159.245,475,2018-06-25 19:21:06,52.607803344727,8.3701019287109,20,Female,Medium,1,1,2,2,1,2,1,1,1,1,1,2,2,1,2,2,2,1,2,2,2,2,1,2,2,1,1,1,1,1,1,2,1,2,1,2,2,2,2,1,2,2,28
2018-06-25 19:24:26,2018-06-25 19:37:26,85.147.97.138,780,2018-06-25 19:37:27,53.260696411133,6.3957061767578,21,Female,Low,2,1,2,2,1,2,1,2,1,1,2,2,1,1,2,1,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,2,1,1,2,2,2,1,2,2,28
2018-06-25 20:42:53,2018-06-25 20:52:49,213.124.176.136,596,2018-06-25 20:52:50,51.835403442383,5.8282012939453,23,Female,Very low,2,1,2,1,1,1,1,2,1,1,2,1,1,2,2,2,1,2,2,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,2,2,2,2,2,2,2,28
2018-06-25 20:24:39,2018-06-25 20:34:43,89.205.225.53,604,2018-06-25 20:34:43,52.382400512695,4.8995056152344,24,Female,Medium,2,2,2,1,2,1,1,2,1,1,1,1,2,1,1,2,2,2,2,1,2,2,2,1,2,2,1,2,1,1,1,1,2,1,1,1,2,1,2,2,1,2,29
2018-06-25 23:44:56,2018-06-25 23:51:31,87.214.247.210,394,2018-06-25 23:51:31,51.981002807617,5.9223937988281,25,Male,Low,1,2,2,2,1,2,1,2,1,2,2,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,2,2,1,1,1,2,1,2,2,2,2,2,2,2,29
2018-06-26 18:29:40,2018-06-26 18:37:11,134.19.181.150,451,2018-06-26 18:37:12,52.382400512695,4.8995056152344,25,Male,High,1,1,2,1,1,2,2,2,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,2,1,1,1,2,2,2,1,2,2,2,29
2018-06-26 14:05:19,2018-06-26 14:13:27,89.188.21.230,488,2018-06-26 14:13:28,53.195098876953,6.5727996826172,32,Male,Medium,2,1,2,2,2,1,1,2,1,2,2,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,2,2,2,1,2,1,2,2,29
2018-06-25 19:20:30,2018-06-25 19:34:52,213.127.3.209,861,2018-06-25 19:34:52,52.382400512695,4.8995056152344,23,Male,Low,2,1,2,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,2,2,1,30
2018-06-25 20:22:39,2018-06-25 20:39:32,92.76.179.239,1013,2018-06-25 20:39:32,52.414001464844,9.6602935791016,23,Male,High,2,2,2,2,1,1,2,2,1,1,1,1,1,2,2,2,2,1,2,1,2,2,1,1,2,2,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2,1,30
2018-06-25 19:17:16,2018-06-25 19:26:59,178.84.91.58,582,2018-06-25 19:26:59,51.831802368164,5.8836059570312,21,Female,High,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,31
2018-06-25 19:34:28,2018-06-25 19:42:24,94.211.53.75,476,2018-06-25 19:42:24,52.105697631836,5.0133056640625,25,Male,Low,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,1,2,2,1,2,1,1,2,1,2,1,1,1,2,2,2,2,2,2,2,32
2018-06-25 22:34:20,2018-06-25 22:44:14,212.127.217.125,594,2018-06-25 22:44:15,51.730895996094,5.5278930664062,23,Male,Medium,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,1,33
2018-06-25 19:35:18,2018-06-25 19:49:52,213.124.180.117,873,2018-06-25 19:49:52,51.81950378418,5.8665008544922,25,Male,Medium,2,1,2,1,1,1,1,2,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,33
2018-06-25 20:02:13,2018-06-25 20:07:49,83.161.66.128,335,2018-06-25 20:07:49,51.835296630859,5.8650054931641,25,Male,Low,2,1,1,1,1,1,1,1,1,2,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,1,33
2018-06-25 19:22:14,2018-06-25 19:57:45,145.116.189.137,2130,2018-06-25 19:57:46,51.835296630859,5.8650054931641,30,Male,Medium,2,1,1,2,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,33
2018-06-26 14:14:03,2018-06-26 14:20:03,89.188.21.230,360,2018-06-26 14:20:04,53.195098876953,6.5727996826172,28,Male,Medium,2,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,1,2,1,1,1,1,1,1,1,2,2,2,1,2,2,2,36
2018-06-26 13:58:49,2018-06-26 14:05:21,89.188.21.230,392,2018-06-26 14:05:22,53.195098876953,6.5727996826172,28,Male,High,2,1,2,1,2,2,1,1,1,2,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,37
2018-06-26 20:29:30,2018-06-26 20:33:21,134.101.187.98,230,2018-06-26 20:33:21,53.728302001953,9.9093017578125,22,Male,Medium,1,1,2,1,1,2,2,2,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,25
